OA Code,Ward Name,LA Name,Region Name,QS606EW0096,QS606EW0001 (base),OA Percentage
E00007854,Blackheath Westcombe,Greenwich,London,2,118,1.6900,
E00176488,Greenwich West,Greenwich,London,5,122,4.1000,
E00007911,Charlton,Greenwich,London,8,109,7.3400,
E00008400,Shooters Hill,Greenwich,London,11,156,7.0500,
E00007910,Charlton,Greenwich,London,9,199,4.5200,
E00007924,Charlton,Greenwich,London,2,155,1.2900,
E00008495,Woolwich Riverside,Greenwich,London,7,126,5.5600,
E00008496,Woolwich Riverside,Greenwich,London,19,116,16.3800,
E00008219,Kidbrooke with Hornfair,Greenwich,London,6,176,3.4100,
E00008467,Woolwich Common,Greenwich,London,9,105,8.5700,
E00008278,Peninsula,Greenwich,London,6,161,3.7300,
E00008298,Peninsula,Greenwich,London,6,176,3.4100,
E00008468,Woolwich Common,Greenwich,London,5,72,6.9400,
E00008532,Woolwich Riverside,Greenwich,London,21,126,16.6700,
E00008172,Greenwich West,Greenwich,London,6,213,2.8200,
E00176501,Woolwich Riverside,Greenwich,London,10,88,11.3600,
E00008159,Greenwich West,Greenwich,London,2,133,1.5000,
E00007845,Blackheath Westcombe,Greenwich,London,4,149,2.6800,
E00007899,Charlton,Greenwich,London,9,123,7.3200,
E00008463,Woolwich Common,Greenwich,London,11,111,9.9100,
E00008141,Glyndon,Greenwich,London,19,174,10.9200,
E00007850,Blackheath Westcombe,Greenwich,London,5,121,4.1300,
E00008448,Woolwich Common,Greenwich,London,19,188,10.1100,
E00008465,Woolwich Common,Greenwich,London,25,179,13.9700,
E00176499,Greenwich West,Greenwich,London,5,182,2.7500,
E00008521,Woolwich Riverside,Greenwich,London,12,146,8.2200,
E00008455,Woolwich Common,Greenwich,London,12,125,9.6000,
E00007843,Blackheath Westcombe,Greenwich,London,6,189,3.1700,
E00008222,Kidbrooke with Hornfair,Greenwich,London,4,72,5.5600,
E00008526,Woolwich Riverside,Greenwich,London,8,117,6.8400,
E00007906,Charlton,Greenwich,London,12,149,8.0500,
E00176516,Peninsula,Greenwich,London,10,258,3.8800,
E00008303,Peninsula,Greenwich,London,4,137,2.9200,
E00008382,Shooters Hill,Greenwich,London,11,174,6.3200,
E00008528,Woolwich Riverside,Greenwich,London,8,133,6.0200,
E00008197,Kidbrooke with Hornfair,Greenwich,London,16,135,11.8500,
E00176514,Woolwich Riverside,Greenwich,London,6,177,3.3900,
E00008518,Woolwich Riverside,Greenwich,London,17,151,11.2600,
E00007859,Blackheath Westcombe,Greenwich,London,4,130,3.0800,
E00008167,Greenwich West,Greenwich,London,4,172,2.3300,
E00008223,Kidbrooke with Hornfair,Greenwich,London,12,198,6.0600,
E00008138,Glyndon,Greenwich,London,2,90,2.2200,
E00021374,East India and Lansbury,Tower Hamlets,London,20,120,16.6700,
E00008229,Kidbrooke with Hornfair,Greenwich,London,12,105,11.4300,
E00167176,Weavers,Tower Hamlets,London,13,230,5.6500,
E00021671,Shadwell,Tower Hamlets,London,20,105,19.0500,
E00021188,Bethnal Green South,Tower Hamlets,London,15,114,13.1600,
E00021399,Limehouse,Tower Hamlets,London,6,192,3.1300,
E00167078,Spitalfields and Banglatown,Tower Hamlets,London,35,226,15.4900,
